time,open,high,low,close,OnBalanceVolume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,%K,%D,Histogram,MACD,Signal
2023-05-10,27628.28,28331.42,26777,27598.75,-1666973.013980005,42.70869290235242,50.928857747125285,NaN,NaN,NaN,NaN,NaN,NaN,25.740902583957478,18.84867108372818,-187.4267309196642,-113.85071152035744,73.57601939930677
2023-05-11,27598.74,27630.14,26702.05,26968.62,-1714608.3276300048,38.55385769156917,49.57026730217839,NaN,NaN,NaN,NaN,NaN,NaN,8.158624446797692,15.979956588497586,-231.1591588539874,-215.3729291681775,15.786229685809907
2023-05-12,26968.61,27091.12,25811.46,26795.01,-1781816.262570005,37.472233560985316,48.22549590669918,NaN,NaN,NaN,NaN,NaN,NaN,23.654799383346983,19.184775471367377,-257.6753570238788,-306.3079665940386,-48.632609570159794
2023-05-13,26795.01,27045.45,26692.03,26775.28,-1804631.166780005,37.34401038955395,46.919372130347384,NaN,NaN,37.34401038955395,NaN,NaN,NaN,23.18028442037263,18.33123608350576,-261.6031766179301,-375.6365803425724,-114.03340372464231
2023-05-14,26775.27,27200,26560.53,26917.62,-1783036.363180005,38.966601334942425,45.72776999420605,NaN,NaN,NaN,NaN,NaN,NaN,27.59508449460401,24.8100560994412,-240.2279600054031,-414.3183537313962,-174.0903937259931
2023-05-15,26917.61,27663.59,26726,27162.14,-1742606.279850005,41.75697574771532,45.39131903028548,NaN,NaN,NaN,NaN,NaN,NaN,33.69506104466963,28.156809986548755,-197.04539767270077,-420.39714081686907,-223.3517431441683
2023-05-16,27162.15,27296.89,26852.11,27033.84,-1775876.734360005,40.705392106159294,44.658376476505346,NaN,NaN,NaN,NaN,NaN,NaN,30.49439446781124,30.59484666902829,-165.80150989938443,-430.60363051839886,-264.80212061901443
2023-05-17,27033.85,27500,26544.71,27405.61,-1732917.756510005,45.02562771189025,44.05582375631472,NaN,NaN,NaN,NaN,45.02562771189025,NaN,39.76884351908678,34.65276634385588,-111.38721394992808,-404.03613805642453,-292.64892410649645
2023-05-18,27405.62,27485.33,26361.2,26821.28,-1782116.4079400052,40.08236091727073,43.20748076711028,NaN,NaN,NaN,NaN,NaN,NaN,25.191715687008223,31.818317891302083,-106.06483673425902,-425.2299700243202,-319.1651332900612
2023-05-19,26821.28,27183.6,26630,26880.26,-1753362.272500005,40.78898437809997,42.07672178583832,NaN,NaN,NaN,NaN,NaN,NaN,26.66307433629199,30.541211180795667,-90.49504639270367,-432.2839412809408,-341.7888948882371
2023-05-20,26880.26,27150,26825.11,27102.43,-1738927.725320005,43.49235683100692,41.5163910902598,NaN,NaN,NaN,NaN,NaN,NaN,38.80480818076068,30.2198660680203,-58.697909092392536,-415.1612812537278,-356.46337216133526
2023-05-21,27102.42,27277.55,26666.03,26747.78,-1760275.598110005,40.3271632284257,40.95022326851772,NaN,NaN,NaN,NaN,NaN,NaN,33.20813605007891,32.89200618904386,-55.07416400895761,-425.30607717253224,-370.23191316357463
2023-05-22,26747.78,27099.89,26538.21,26849.27,-1733816.759830005,41.63616174286017,40.840733770240696,NaN,NaN,NaN,NaN,NaN,NaN,41.18359021571778,37.73217814885246,-40.06360372905863,-420.31141782489794,-380.2478140958393
2023-05-23,26849.28,27495.83,26798.11,27219.61,-1695115.921250005,46.26804068134288,41.08060423029819,NaN,NaN,NaN,NaN,NaN,NaN,55.87985523579747,43.42386050053139,-1.4541946826254275,-382.0655574491211,-380.6113627664957
2023-05-24,27219.61,27219.61,26080.5,26329.01,-1749508.986950005,38.37975991077515,40.771394730899814,NaN,NaN,38.37975991077515,NaN,NaN,NaN,27.943502885866486,41.66898277912725,-30.544384046647394,-418.7918428248049,-388.2474587781575
2023-05-25,26329,26631.98,25871.89,26473.79,-1712073.5380000048,40.16568061311853,40.88652493958191,NaN,NaN,NaN,NaN,NaN,NaN,35.76044878059323,39.861268967419065,-34.39726474617822,-431.2440397108803,-396.8467749647021
2023-05-26,26473.8,26932.16,26327.24,26705.92,-1677012.3508700049,43.01728519787625,41.28260005650269,NaN,NaN,NaN,NaN,NaN,NaN,46.54964558798898,36.751199084816236,-16.57704367119328,-417.5680795536937,-400.9910358825004
2023-05-27,26705.93,26895,26551,26854.27,-1661916.664170005,44.82698536264525,41.81709826886635,NaN,NaN,NaN,NaN,NaN,NaN,54.8294915443434,45.713195304308535,8.584430844107146,-390.26049732736647,-398.8449281714736
2023-05-28,26854.28,28261.32,26764.36,28065,-1618000.655620005,56.86679576305247,43.095683585159925,NaN,NaN,NaN,NaN,56.86679576305247,NaN,91.78381454991359,64.38765056074865,104.8072987528916,-267.8358047303591,-372.6431034832507
2023-05-29,28065.01,28447.14,27524.6,27736.4,-1660386.075070005,53.45719123989979,43.931413263173106,NaN,NaN,NaN,NaN,NaN,NaN,72.4011261042618,73.0048107328396,142.05058813757887,-195.0798683112771,-337.13045644885597
2023-05-30,27736.39,28038.59,27554,27694.4,-1693072.828780005,53.01962049329183,44.81100100511115,NaN,NaN,NaN,NaN,NaN,NaN,70.7702164838366,78.31838571267066,158.340645982412,-139.20464897084094,-297.54529495325295
2023-05-31,27694.39,27835.51,26839.01,27210.35,-1739661.634510005,48.12991343151137,45.0327356993698,NaN,NaN,NaN,NaN,NaN,NaN,51.97398310843604,65.04844189884481,132.07218382752995,-132.45506516884052,-264.5272489963705
2023-06-01,27210.36,27350,26605.05,26817.93,-1778879.443310005,44.54337920125328,45.35137986251141,NaN,NaN,NaN,NaN,NaN,NaN,36.73585088826331,53.16001682684532,86.05249533832435,-156.96162982346505,-243.0141251617894
2023-06-02,26817.93,27300,26505,27242.59,-1742498.540620005,48.974579649793874,45.93606523906097,NaN,NaN,NaN,NaN,NaN,NaN,53.22590039801963,47.31191146490633,82.01355465076605,-140.49718184833182,-222.51073649909787
2023-06-03,27242.59,27333.29,26914.93,27069.22,-1759093.881790005,47.312465485241155,46.20893014293485,NaN,NaN,NaN,NaN,NaN,NaN,46.493738471993076,45.485163252758674,66.14725835435655,-139.8266635561522,-205.97392191050875
2023-06-04,27069.22,27455.02,26951,27115.21,-1739835.471300005,47.81838541732557,46.74401744214198,NaN,NaN,NaN,NaN,NaN,NaN,48.279584506358596,49.33307445879044,57.547821918981356,-134.03914451178207,-191.58696643076343
2023-06-05,27115.2,27129.33,25388,25728.2,-1805641.074350005,36.45052829170741,46.37361505277393,NaN,NaN,36.45052829170741,NaN,NaN,NaN,11.120772504690887,35.29803182768086,-37.627966247724146,-238.6219242404186,-200.99395799269445
2023-06-06,25728.2,27355.33,25351.02,27230.08,-1737248.469970005,50.24389790463122,46.65760485443739,NaN,NaN,NaN,NaN,50.24389790463122,NaN,60.69080009818747,40.030385703078984,2.3691102419051617,-198.03257019031298,-200.40168043221814
2023-06-07,27230.07,27391.77,26125.01,26339.34,-1796867.913610005,44.126604089820205,47.06809372436918,NaN,NaN,NaN,NaN,NaN,NaN,31.921243362660363,34.577605321846235,-27.703611761941318,-235.0311951346448,-207.3275833727035
2023-06-08,26339.34,26810,26210,26498.61,-1765792.402780005,45.4065288259447,47.44244002528533,NaN,NaN,NaN,NaN,NaN,NaN,37.06542382078216,43.225822427209984,-33.04593688340569,-248.6350044769606,-215.58906759355492
2023-06-09,26498.62,26783.33,26269.91,26477.81,-1793727.112480005,45.26070960912586,47.602684626088866,NaN,NaN,NaN,NaN,NaN,NaN,36.393615234551675,35.12676080599806,-34.02400318473835,-258.11907157447786,-224.0950683897395
2023-06-10,26477.8,26533.87,25358,25841.21,-1858671.713560005,40.92849270921977,47.32422086512991,NaN,NaN,NaN,NaN,NaN,NaN,15.83239667713134,29.76381191082172,-71.43673454897615,-313.3909865759597,-241.95425202698354
2023-06-11,25841.22,26206.88,25634.7,25925.55,-1828657.417610005,41.724336272169694,46.24261661578113,NaN,NaN,NaN,NaN,NaN,NaN,18.556451300337166,23.59415440400673,-83.55324559725034,-346.39580902354646,-262.8425634262961
2023-06-12,25925.54,26106.48,25602.11,25905.19,-1858557.926540005,41.57870672722195,45.394153436304144,NaN,NaN,NaN,NaN,NaN,NaN,20.61974199741768,18.336196658295396,-85.67068294387764,-369.93091710614317,-284.26023416226553
2023-06-13,25905.2,26433.21,25712.57,25934.25,-1817492.318010005,41.890459279851285,44.599213349629814,NaN,NaN,NaN,NaN,NaN,NaN,23.474837894296215,20.883677064017025,-78.06076528226004,-381.8361907650906,-303.77542548283054
2023-06-14,25934.24,26098,24820.56,25128.6,-1862569.634090005,36.13360051282346,43.74233385543783,NaN,NaN,36.13360051282346,NaN,NaN,NaN,11.692718811445129,18.595766234386346,-117.84418030136294,-451.0806508595342,-333.2364705581713
2023-06-15,25128.6,25759.01,24800,25598.49,-1813904.773460005,41.20841419861977,43.50412206953543,NaN,NaN,NaN,NaN,NaN,NaN,30.074726367409717,21.74742769105036,-103.57673209871575,-462.70738568156594,-359.1306535828502
2023-06-16,25598.49,26518,25175.56,26345,-1762307.856840005,48.244459516173016,43.451970631419655,NaN,NaN,NaN,NaN,NaN,NaN,58.19165204028594,33.319699073046934,-38.28985868941936,-406.9929769446244,-368.703118255205
2023-06-17,26345.01,26839.99,26181,26516.99,-1734465.637340005,49.73695991582684,43.625148805032914,NaN,NaN,NaN,NaN,NaN,NaN,64.66956934411046,50.97864925060204,18.975302360005685,-344.98399030519795,-363.95929266520363
2023-06-18,26516.99,26700,26255.85,26339.97,-1756003.9475600051,48.19640880822291,43.6521504758113,NaN,NaN,NaN,NaN,NaN,NaN,59.41769524301928,60.75963887580523,45.89442373885805,-306.5912629916311,-352.48568673048914
2023-06-19,26339.98,27068.09,26256.61,26844.35,-1720131.287820005,52.69261312366419,44.812299392379636,NaN,NaN,NaN,NaN,NaN,NaN,78.87852702979038,67.6552638723067,95.76284397842926,-232.7821317574526,-328.54497573588185
2023-06-20,26844.35,28402.74,26652,28307.99,-1650464.3325700052,62.78630531542256,45.70818563600759,NaN,NaN,NaN,NaN,NaN,NaN,97.37005723421619,78.55542650234194,218.4007244509571,-55.54407017218546,-273.94479462314257
2023-06-21,28308,30800,28257.99,29993.89,-1541537.9284500051,70.57436349504962,47.59731130780968,NaN,NaN,NaN,NaN,NaN,NaN,86.56483333333333,87.60447253244662,393.9065470060956,218.4383891344769,-175.46815787161867
2023-06-22,29993.89,30500,29525.61,29884.92,-1600592.493050005,69.56103039910862,49.32263284874996,NaN,NaN,NaN,NaN,NaN,NaN,84.74866666666664,89.56118574473872,477.9064632522696,421.9149211937183,-55.99154205855126
2023-06-23,29884.92,31431.94,29800,30688.5,-1526660.596700005,72.67666047579279,51.28091505351189,NaN,NaN,NaN,NaN,72.67666047579279,NaN,88.79000714722994,86.70116904907663,557.2963993915982,640.6289571809466,83.3325577893483
2023-06-24,30688.51,30800,30250,30527.43,-1557173.898050005,71.1056103840547,53.43642345885724,NaN,NaN,NaN,NaN,NaN,NaN,86.36130604317894,86.63332661902517,566.8032370466419,791.8366040976507,225.03336705100878
2023-06-25,30527.44,31046.01,30277.49,30462.66,-1587397.346060005,70.44613865224062,55.48798077171945,NaN,NaN,NaN,NaN,NaN,NaN,85.38466873946389,86.84532730995757,536.8641200890585,896.1135171623318,359.24939707327337
2023-06-26,30462.67,30666,29930,30267.99,-1632577.760950005,68.3930206276538,57.40328890746458,NaN,NaN,NaN,NaN,NaN,NaN,82.44932855242963,84.73176777835748,474.25696450233124,952.0706027011875,477.8136381988562
2023-06-27,30267.99,30994.97,30226.17,30692.44,-1589878.119380005,70.41745825593974,59.440931691470894,NaN,NaN,NaN,NaN,NaN,NaN,88.84941661112737,85.56113796767362,432.88595020558193,1018.9210759558337,586.0351257502517
2023-06-28,30692.44,30709.74,29858.8,30077.41,-1630341.638750005,64.01887410782086,61.43273694825643,NaN,NaN,64.01887410782086,NaN,NaN,NaN,79.57565961091326,83.62480159149008,339.6702549592329,1010.6229444492928,670.9526894900599
2023-06-29,30077.4,30843.98,30049.98,30447.31,-1594011.009720005,66.0188046245706,63.2049076929672,NaN,NaN,NaN,NaN,NaN,NaN,84.2619853653391,84.22902052912657,280.9275932731508,1022.1121810814984,741.1845878083476
2023-06-30,30447.31,31282,29500,30472,-1504591.933540005,66.15403321600866,64.48416295724117,NaN,NaN,NaN,NaN,NaN,NaN,81.71870179434542,81.85211559019926,224.2005620248558,1021.4352903394174,797.2347283145616
2023-07-01,30471.99,30661.6,30320.57,30585.9,-1487090.182790005,66.81021123497833,65.70368090860913,NaN,NaN,NaN,NaN,NaN,NaN,83.65484371407767,83.21184362458739,176.8927889579378,1018.3507145119838,841.457925554046
2023-07-02,30585.9,30791,30155,30617.03,-1463803.7726000051,66.9985276381104,67.04668939645823,NaN,NaN,NaN,NaN,NaN,NaN,84.25395095578446,83.20916548806917,132.28341359234958,1006.812192544483,874.5287789521334
2023-07-03,30617.02,31380,30570.27,31156.2,-1420042.129490005,70.15687072175588,68.2941363677505,NaN,NaN,NaN,NaN,70.15687072175588,NaN,94.23130834278258,87.38003433754824,123.8242640676342,1029.309109036676,905.4848449690419
2023-07-04,31156.2,31350.69,30620,30766.51,-1453248.248920005,65.29311659400253,68.4731943162205,NaN,NaN,NaN,NaN,NaN,NaN,79.03464137746339,85.83996689201014,78.9069225913305,1004.118498208205,925.2115756168745
2023-07-05,30766.52,30878.07,30200,30504.81,-1486463.920140005,62.17572468813776,67.87329154429821,NaN,NaN,NaN,NaN,NaN,NaN,52.010414402103684,75.09212137411656,21.481111929106305,952.0629655282573,930.581853599151
2023-07-06,30504.8,31500,29850.45,29895.43,-1557783.546240005,55.52756023955908,66.87090081861611,NaN,NaN,55.52756023955908,NaN,NaN,NaN,19.771500000000014,50.27218525985569,-63.01149415836687,851.8174859011924,914.8289800595593
2023-07-07,29895.42,30449,29701.02,30344.7,-1523713.007290005,59.00762913170558,65.8945414368956,NaN,NaN,NaN,NaN,NaN,NaN,42.235000000000035,38.00563813403458,-92.3356154772307,799.409460713021,891.7450761902517
2023-07-08,30344.7,30386.81,30044.47,30284.63,-1536807.597710005,58.35016229720353,64.98343800212051,NaN,NaN,NaN,NaN,NaN,NaN,39.231500000000054,33.74600000000004,-117.83841778257681,744.4470539620306,862.2854717446074
2023-07-09,30284.63,30445.52,30061.12,30160.71,-1552196.099670005,56.940688980434786,64.01876302556295,NaN,NaN,NaN,NaN,NaN,NaN,33.035499999999956,38.16733333333335,-143.4153725676481,683.0162560350473,826.4316286026954
2023-07-10,30160.71,31045.78,29950,30411.57,-1510933.223150005,59.094799645329005,63.35460438396832,NaN,NaN,NaN,NaN,NaN,NaN,45.578499999999984,39.28183333333333,-143.45356176707742,647.1146763938486,790.5682381609261
2023-07-11,30411.57,30813.63,30300,30622.1,-1482456.390040005,60.864263523186835,62.672233331628824,NaN,NaN,NaN,NaN,NaN,NaN,56.104999999999926,44.90633333333329,-129.7293522214228,628.4065478841476,758.1359001055704
